dataset,catalog_entity_id,source_dataset,source_record_id,source_snapshot_date,match_method,match_basis,linked_ispb,linked_cnpj,linked_name,source_registry_id,source_file_url,source_publication_date,catalog_snapshot_date,schema_version
catalog_crosswalk,ispb:00952415,spi_participants,spi:00952415,2026-04-13,exact_ispb,ispb=00952415,00952415,00952415000165,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CREDFAZ LTDA. - SICOOB CREDFAZ,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00966246,spi_participants,spi:00966246,2026-04-13,exact_ispb,ispb=00966246,00966246,00966246000112,COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00968602,spi_participants,spi:00968602,2026-04-13,exact_ispb,ispb=00968602,00968602,00968602000137,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO SÃO PATRICIO LTDA.,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00971300,spi_participants,spi:00971300,2026-04-13,exact_ispb,ispb=00971300,00971300,00971300000118,COOPERATIVA DE CREDITO E INVESTIMENTO COM INTERACAO SOLIDARIA PIONEIRA - CRESOL PIONEIRA,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00997185,spi_participants,spi:00997185,2026-04-13,exact_ispb,ispb=00997185,00997185,00997185000150,BANCO B3 S.A.,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01009908,spi_participants,spi:01009908,2026-04-13,exact_ispb,ispb=01009908,01009908,01009908000129,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PARA DE MINAS LTDA - SICOOB ASCICRED,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01027058,spi_participants,spi:01027058,2026-04-13,exact_ispb,ispb=01027058,01027058,01027058000191,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01039011,spi_participants,spi:01039011,2026-04-13,exact_ispb,ispb=01039011,01039011,01039011000148,COOPERATIVA DE CRÉDITO UNICRED DESBRAVADORA LTDA - UNICRED DESBRAVADORA,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01060307,spi_participants,spi:01060307,2026-04-13,exact_ispb,ispb=01060307,01060307,01060307000140,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA UNIÃO DOS VALES DO PIRANGA E MATIPÓ LTDA. - SICOOB UNIÃO DOS VALES,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01062439,spi_participants,spi:01062439,2026-04-13,exact_ispb,ispb=01062439,01062439,01062439000101,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DA COMIGO,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01073966,spi_participants,spi:01073966,2026-04-13,exact_ispb,ispb=01073966,01073966,01073966000111,COOPERATIVA DE CRÉDITO RURAL DE ABELARDO LUZ - SULCREDI/CREDILUZ,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01152097,spi_participants,spi:01152097,2026-04-13,exact_ispb,ispb=01152097,01152097,01152097000110,COOPERATIVA DE CRÉDITO CREDIMATA LTDA. - SICOOB CREDIMATA,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01155801,spi_participants,spi:01155801,2026-04-13,exact_ispb,ispb=01155801,01155801,01155801000199,COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA CENTRO SERRA - CRESOL CENTRO SERRA,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01181521,spi_participants,spi:01181521,2026-04-13,exact_ispb,ispb=01181521,01181521,01181521000155,BANCO COOPERATIVO SICREDI S.A.,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01187961,spi_participants,spi:01187961,2026-04-13,exact_ispb,ispb=01187961,01187961,01187961000110,COOPERATIVA DE CRÉDITO DO DISTRITO FEDERAL E ENTORNO LTDA,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
